epos_name,epos_category,sell_price_gbp,sell_unit,invoice_match,supplier,box_cost_gbp,box_spec,cost_per_unit_gbp,gross_margin_pct,rag,notes
Banana,,(£1.49,per bunch ~3,BANANA COSTA RICA 18KG,Dole,18.50,18KG ~120 bananas,0.15,89.9,GREEN,Cost 15p/ea; if per large bunch (4-5) = 62-75p cost → margin 53-58%. Either way very healthy
Avocado,,1.09,per piece,AVOCADO SPAIN 18 / 10KG,Dole,16.00,18-count box,0.89,18.3,RED,Only 20p/ea margin. Spain 18-ct at £16 = 89p cost. Price should be £1.49-1.69 for healthy margin
Cucumber,,0.69,per piece,CUCUMBER SPAIN 14/5KG,Dole,8.40,14 cucumbers ~5KG,0.60,13.0,RED,Only 9p margin per cucumber. Holland X14 at £6.50 = 46p cost → better. Still tight at £0.69
Lime,Citrus,0.43,per piece,LIMES BRAZIL 42/4KG,Dole,7.00,42 units ~4KG,0.17,61.4,GREEN,Healthy margin
Lemon,Citrus,0.40,per piece,LEMON SPAIN 30,Dole,7.50,30 units ~6KG,0.25,37.5,AMBER,Reasonable but slightly thin. £0.49 would be better
Orange Small,Citrus,0.29,per piece,ORANGE NAVEL SPAIN 80/15KG,Dole,8.00,80 units ~15KG,0.10,65.5,GREEN,Strong margin on small oranges
Orange Large,Citrus,0.69,per piece,ORANGE NAVEL SPAIN 45/15KG,Dole,20.00,45 units ~15KG,0.44,36.2,AMBER,Ok margin but dependent on grade bought
Grapefruit Red,Citrus,0.69,per piece,GRAPEFRUIT RUBY RED SA 35/15KG,Dole,20.00,35 units ~15KG,0.57,17.4,RED,Very thin at SA price (57p cost). Cyprus at £18 = 51p cost → 26% margin = AMBER. Price should be £0.89-0.99
Pineapple Large,,2.39,per piece,PINEAPPLE CR 8/10KG,Dole,14.00,8 units ~10KG,1.75,26.8,AMBER,Reasonable but slim. £2.79 would give 37%
Mango,,1.50,per piece,MANGO BRAZIL 7/4KG,Dole,5.00,7 count ~4KG,0.71,52.3,GREEN,Good margin at glut pricing; at £7/box = £1/ea → margin 33% AMBER. Check current price paid
Kiwi,,0.45,per piece,KIWI ITALY 27/4KG,Dole,8.50,27 units ~4KG,0.31,30.0,AMBER,Thin. £0.55-0.59 would give 43-47%
Passion Fruit,Exotic,0.39,per piece,PASSION FRUIT COLOMBIA 2KG,Dole,14.00,2KG ~40 fruits,0.35,10.3,RED,Nearly break-even. 35p cost on 39p sell. Should be £0.59 minimum
Star Fruit,Exotic,1.00,per piece,STARFRUIT THAILAND 10/2.5KG,Dole,15.00,10 units ~2.5KG,1.50,,,RED - LOSS,Selling below cost. £1/ea vs £1.50 cost. Should be £2.00-2.50
Lychee single,,0.20,per piece,LYCHEE SA 2KG,Dole,15.00,2KG ~50 fruits,0.30,,,RED - LOSS,Selling 20p when cost is ~30p. Either price to 50p or sell in nets only
Large Pomegranate,Exotic,1.50,per piece,POMEGRANATE ZA 8/5KG,Dole,10.00,8 units ~5KG,1.25,16.7,RED,Only 25p margin at SA price. Turkey at £7/8 = 87p cost → 42% margin. Depends on origin. Safe price: £1.89
Pomegranate 2 for £1,,1.00,2 for £1,POMEGRANATE ZA 8/5KG,Dole,10.00,8 units ~5KG,0.625 for 2,,,RED - LOSS,At ZA £1.25/ea cost: selling 2 for £1 = 60p each = loss. Review urgently
Sharon fruit,Exotic,0.49,per piece,KAKI FRUIT SPAIN 24-26/4KG,Dole,10.00,24 units ~4KG,0.42,14.3,RED,Thin. Cost 42p sell 49p. Should be 75p-89p
Papaya,Exotic,3.99,per piece,PAPAYA BRAZIL 4/10KG,Dole,9.50,4 units ~10KG,2.38,40.4,GREEN,Good margin on papaya
Dragon Fruit,Exotic,2.00,per piece,,,,,,,NO_COST,Not in delivery notes. Holland sold kiwi/dragon fruit mix. Market rate ~£2 OK as placeholder
Coconut,Exotic,1.00,per piece,,,,,,,NO_COST,Not in delivery notes. Market £1 typical
Jackfruit,Exotic,1.00,per piece,,,,,,,NO_COST,Not in Dole/Holland deliveries. Price unknown
Fig,Exotic,0.69,per piece,,,,,,,NO_COST,Not in delivery notes
Rhubarb,Exotic,4.00,per piece,RHUBARB UK 5KG,Dole,18.00,5KG,3.60,10.0,RED,Selling near cost if per 500g piece. Should be £5.50+ or sell by weight at £5/kg
Marrow,,1.50,per piece,,,,,,,NO_COST,Not in delivery notes
Pumpkin small,,2.49,per piece,,,,,,,NO_COST,Not in delivery notes
Apricot Loose,Soft Fruit,0.20,per piece,APRICOT SPAIN 10X500G/5KG,Dole,14.00,10×500G = 5KG,0.28,,,RED - LOSS,20p sell vs 28p cost (if ~50g each and 100 per 5KG). Review pack size
Apricot Punnet,Punnets,2.50,per 500G punnet,APRICOT SPAIN 10X500G/5KG,Dole,14.00,10×500G punnets,1.40,44.0,GREEN,Good margin on prepacked apricot punnet
Strawberry Punnet,Punnets,1.80,per 250G punnet,STRAWBERRY SPAIN 16X250G,Dole,12.80,16×250G = 4KG,0.80,55.6,GREEN,Strong margin on Spain 250G punnet
Belgium Strawberry punnet,Punnets,3.60,per 500G punnet,STRAWBERRY BELGIUM 8X500G,Dole,27.50,8×500G = 4KG,3.44,4.4,RED,Nearly break-even. Cost £3.44; sell £3.60. Need £4.99 for healthy margin (45%)
Blueberry,Punnets,1.99,per 125G punnet,BLUEBERRY SPAIN 12X125G,Dole,14.40,12×125G = 1.5KG,1.20,39.7,AMBER,Close to GREEN but thin. £2.29 punnet would give 48%
Nectarine Punnet,Punnets,2.50,per 500G punnet,NECTARINE SPAIN 10X500G,Dole,15.50,10×500G = 5KG,1.55,38.0,AMBER,Borderline. £2.99 would give 48%
Nectarine Punnet 1kg LARGE,Punnets,2.99,per 1KG,NECTARINE SPAIN 10X500G,Dole,15.50,10×500G = 5KG,1.55 per 500G,48.2,GREEN,Good margin at £2.99/1KG (cost £3.10 for 1KG... wait - 2×500G = £3.10 cost vs £2.99 sell = LOSS),RED,LOSS: 1KG costs £3.10 (2 punnets); selling at £2.99. Either reduce to 500G or price at £3.99
Nectarine Loose,Soft Fruit,0.45,per piece,NECTARINE SPAIN 10X500G,Dole,15.50,10×500G punnets ~30 fruits,0.52,,,RED - LOSS,If ~52g each and 30 per 5KG: cost 52p; sell 45p = loss. Price to 75p
Loose Nec/Peach,Soft Fruit,0.45,per piece,NECTARINE / PEACH SPAIN,Dole,16.00,10×500G = 5KG,0.53,,,RED - LOSS,Same as above. 45p sell vs ~52p cost. Price to 75p
Peach Punnet,Punnets,2.50,per 500G punnet,PEACH SPAIN 10X500G,Dole,16.00,10×500G = 5KG,1.60,36.0,AMBER,Thin but ok. £2.99 would give 46%
Plum 4 for £1,Soft Fruit,1.00,4 for £1,PLUM ANGELINO ZA 10X500G,Dole,9.50,10×500G = 5KG,0.95 per 500G,,,AMBER,If ~4 plums per 500G: 4 plums cost 95p; sell £1 = only 5p margin. Very thin
Plums Punnet,Punnets,1.99,per punnet,PLUM ANGELINO ZA 10X500G,Dole,9.50,10×500G = 5KG,0.95,52.3,GREEN,Good margin if selling 500G punnet at £1.99
Punnet Plum,Punnets,1.00,per punnet,PLUM ANGELINO ZA 10X500G,Dole,9.50,10×500G = 5KG,0.95,5.3,RED,£1 vs 95p cost = nearly break-even. Consolidate with Plums Punnet at £1.99
Plum Red Loose,Soft Fruit,3.60,per kg,PLUM RUBY STAR SA 5KG,Dole,13.00,5KG,2.60,27.8,AMBER,Reasonable. £3.99/kg would give 35%
Grapes Green Punnet,Grapes,2.40,per 500G punnet,GRAPE SWEET GLOBE PE 10X500G,Dole,16.00,10×500G = 5KG,1.60,33.3,AMBER,Ok but not great. Sweet Globe PE costs £1.60 punnet. £2.99 punnet would give 46%
Grapes Red Punnet,Grapes,2.40,per 500G punnet,GRAPE CRIMSON ZA 10X500G,Dole,16.00,10×500G = 5KG,1.60,33.3,AMBER,Same cost as green. £2.69-2.99 would improve margin
Grape open punnet,Grapes,1.40,per open punnet,VARIOUS GRAPES,Dole,,,,,AMBER,Open punnet (loose handful) - cost depends on weight given. Check portion size
Open punnet Grapes,Grapes,1.40,per open punnet,VARIOUS GRAPES,Dole,,,,,DUPLICATE,Duplicate of Grape open punnet - consolidate
Closed punnet grapes,Grapes,2.20,per 500G punnet,GRAPE VARIOUS 10X500G,Dole,16.00,10×500G = 5KG,1.60,27.3,AMBER,Thin at £2.20. Should be £2.69-2.99 like Grapes Red/Green Punnet
Grapes Bag,Grapes,2.69,per bag,GRAPE VARIOUS,Dole,,,1.60,40.5,GREEN,If 500G bag at £2.69 vs £1.60 cost = 40.5% margin. OK
Kiwi Punnet,Punnets,2.99,per punnet ~6 kiwi,KIWI ITALY 27/4KG,Dole,8.50,27 units ~4KG,0.31 per kiwi,37.8,AMBER,6 kiwi per punnet = £1.89 cost vs £2.99 sell. Reasonable
Pear Conference Punnet,Punnets,2.80,per 500G punnet,PEARS CONFERENCE BELGIUM 12KG,Dole,19.00,12KG,0.79,71.8,GREEN,Strong margin. Conference at £1.58/kg → 500G costs 79p
Tangerine PUNNET,Punnets,3.50,per punnet ~8 fruit,CLEMENTINE NARDOCOTT SP 66/10KG,Dole,17.00,66 units ~10KG,0.26 per fruit,,,GREEN,8 clems @ 26p = £2.06 cost; sell £3.50 = 41% margin
Dates Medjool box,Punnets,4.99,per 500G box,DATE MEDJOOL EGYPT 5KG,Dole,30.00,5KG,3.00 per 500G,39.9,AMBER,Just under GREEN. £5.49 would give 45%
